timestamp_s,exec_time_ms
12.957,0.04
12.967,0.04
12.9774,0.27
12.9875,0.04
12.9976,0.04
13.0078,0.04
13.0182,0.04
13.0284,0.04
13.0387,0.04
13.0488,0.04
13.059,0.04
13.0695,0.31
13.0795,0.04
13.0897,0.04
13.0999,0.04
13.1102,0.04
13.1205,0.03
13.1306,0.04
13.1408,0.04
13.151,0.04
13.1615,0.31
13.1717,0.04
13.182,0.04
13.192,0.04
13.2024,0.04
13.2127,0.04
13.223,0.04
13.2332,0.04
13.2435,0.04
13.2536,0.04
13.2637,0.04
13.274,0.04
13.284,0.04
13.2945,0.27
13.3046,0.04
13.3148,0.04
13.3251,0.04
13.3354,0.04
13.3457,0.04
13.3557,0.04
13.3662,0.04
13.3764,0.04
13.3868,0.04
13.397,0.04
13.4074,0.28
13.4176,0.04
13.4277,0.04
13.4381,0.04
13.4484,0.27
13.4584,0.04
13.4686,0.04
13.479,0.04
13.489,0.04
13.4994,0.27
13.5096,0.04
13.5199,0.04
13.5309,0.04
13.5405,0.04
13.5504,0.04
13.5607,0.04
13.5719,0.04
13.5813,0.04
13.5915,0.04
13.6016,0.04
13.6118,0.04
13.6221,0.04
13.6324,0.04
13.6425,0.04
13.653,0.04
13.663,0.04
13.673,0.04
13.6835,0.04
13.6935,0.04
13.7037,0.04
13.7147,0.04
13.7248,0.04
13.7345,0.04
13.7447,0.04
13.7558,0.04
13.765,0.04
13.7756,0.04
13.7854,0.04
13.7958,0.04
13.8061,0.04
13.8165,0.03
13.8268,0.04
13.8378,0.04
13.8471,0.04
13.8574,0.04
13.8677,0.04
13.8777,0.04
13.8887,0.04
13.8989,0.04
13.9085,0.04
13.9188,0.04
13.929,0.04
13.9395,0.03
13.9495,0.04
13.9598,0.04
13.9699,0.04
13.9804,0.04
13.9905,0.04
14.0005,0.04
14.0109,0.04
14.0211,0.04
14.0313,0.04
14.0416,0.04
14.052,0.04
14.0621,0.04
14.0725,0.04
14.0828,0.04
14.0937,0.04
14.1033,0.04
14.1136,0.04
14.1239,0.04
14.1342,0.04
14.1441,0.04
14.1546,0.04
14.1648,0.04
14.175,0.04
14.1855,0.04
14.1956,0.04
14.2057,0.04
14.2159,0.04
14.2262,0.04
14.2365,0.04
14.2467,0.04
14.2569,0.04
14.2671,0.04
14.2775,0.03
14.2876,0.04
14.2978,0.04
14.3081,0.04
14.3185,0.03
14.3285,0.04
14.3387,0.04
14.3488,0.04
14.3592,0.04
14.3693,0.04
14.3794,0.04
14.3898,0.04
14.4,0.04
14.4105,0.03
14.4204,0.04
14.4306,0.04
14.4408,0.04
14.4509,0.04
14.461,0.04
14.4714,0.04
14.4817,0.04
14.4918,0.04
14.5019,0.04
14.5124,0.04
14.5225,0.04
14.5325,0.04
14.5428,0.04
14.553,0.04
14.5635,0.04
14.5734,0.04
14.5837,0.04
14.5948,0.04
14.6045,0.04
14.6148,0.04
14.6248,0.04
14.635,0.04
14.6455,0.04
14.6556,0.04
14.6658,0.04
14.6768,0.04
14.6865,0.03
14.6965,0.04
14.7069,0.04
14.7171,0.04
14.7275,0.03
14.7375,0.04
14.7477,0.04
14.7579,0.04
14.768,0.04
14.7784,0.04
14.7885,0.04
14.7986,0.04
14.809,0.04
14.8192,0.04
14.8295,0.03
14.8396,0.04
14.8499,0.04
14.86,0.04
14.8705,0.04
14.8808,0.04
14.891,0.04
14.9013,0.04
14.9115,0.04
14.9218,0.04
14.9319,0.04
14.9421,0.04
14.9521,0.04
14.9624,0.04
14.9728,0.04
14.9828,0.04
14.9938,0.04
15.0034,0.04
